Date,AAPL,MSFT,TSLA,TWTR,AMZN,IBM,AMD
2006-01-24,9.451781272888184,19.2995662689209,,,44.02000045776367,55.514739990234375,36.77000045776367
2006-01-25,9.223069190979004,19.387693405151367,,,43.599998474121094,55.55595779418945,38.380001068115234
2006-01-26,8.990631103515625,19.461132049560547,,,44.68000030517578,55.42549514770508,40.40999984741211
2006-01-27,8.953338623046875,20.408489227294922,,,45.220001220703125,55.6314697265625,39.849998474121094
2006-01-30,9.322511672973633,20.56270408630371,,,44.959999084472656,56.05034255981445,41.400001525878906
2006-01-31,9.385905265808105,20.67285919189453,,,44.81999969482422,55.82373809814453,41.79999923706055
2006-02-01,9.37471866607666,20.592084884643555,,,43.97999954223633,56.263179779052734,42.099998474121094
2006-02-02,8.96203899383545,20.327699661254883,,,42.7400016784668,55.77567672729492,41.02000045776367
2006-02-03,8.9309663772583,20.22489356994629,,,38.33000183105469,54.91050720214844,39.540000915527344
2006-02-06,8.365398406982422,19.953163146972656,,,37.95000076293945,54.59467315673828,41.220001220703125
2006-02-07,8.402687072753906,19.784259796142578,,,37.52000045776367,54.8281135559082,41.0099983215332
2006-02-08,8.553092956542969,19.762229919433594,,,38.16999816894531,55.61972427368164,40.86000061035156
2006-02-09,8.073295593261719,19.578636169433594,,,37.9900016784668,55.344383239746094,40.060001373291016
2006-02-10,8.3666410446167,19.60067367553711,,,38.52000045776367,55.98457717895508,40.099998474121094
2006-02-13,8.043461799621582,19.380355834960938,,,37.86000061035156,55.37192153930664,38.959999084472656
2006-02-14,8.407660484313965,19.571290969848633,,,38.25,55.819358825683594,40.220001220703125
2006-02-15,8.60405445098877,19.807090759277344,,,39.2599983215332,55.65414810180664,40.2400016784668
2006-02-16,8.771860122680664,19.755508422851562,,,39.150001525878906,55.695465087890625,41.7400016784668
2006-02-17,8.73705768585205,19.674448013305664,,,39.189998626708984,55.557769775390625,40.33000183105469
2006-02-21,8.586653709411621,19.55655288696289,,,38.290000915527344,55.4132194519043,40.04999923706055
2006-02-22,8.865084648132324,19.689186096191406,,,38.720001220703125,55.99833297729492,40.79999923706055
2006-02-23,8.918536186218262,19.644981384277344,,,37.900001525878906,55.20671081542969,40.38999938964844
2006-02-24,8.882491111755371,19.622880935668945,,,38.349998474121094,55.13787078857422,40.540000915527344
2006-02-27,8.824066162109375,19.932355880737305,,,38.0099983215332,55.50271987915039,40.619998931884766
2006-02-28,8.513318061828613,19.799718856811523,,,37.439998626708984,55.234249114990234,38.66999816894531
2006-03-01,8.589139938354492,19.998676300048828,,,37.119998931884766,55.00020217895508,40.06999969482422
2006-03-02,8.652531623840332,19.873409271240234,,,36.880001068115234,55.02774429321289,41.33000183105469
2006-03-03,8.417603492736816,19.843931198120117,,,37.209999084472656,55.04149627685547,39.5099983215332
2006-03-06,8.139174461364746,19.829193115234375,,,36.86000061035156,55.06903839111328,39.38999938964844
2006-03-07,8.242341041564941,19.939727783203125,,,36.93000030517578,55.26866912841797,38.27000045776367
2006-03-08,8.161544799804688,20.07972526550293,,,36.810001373291016,55.853782653808594,37.09000015258789
2006-03-09,7.946506977081299,19.895517349243164,,,36.119998931884766,55.77116394042969,36.209999084472656
2006-03-10,7.854528427124023,20.020784378051758,,,36.220001220703125,56.149749755859375,36.630001068115234
2006-03-13,8.164034843444824,19.97657012939453,,,36.189998626708984,56.397586822509766,34.0
2006-03-14,8.367886543273926,20.06499671936035,,,36.90999984741211,57.05152893066406,34.9900016784668
2006-03-15,8.232397079467773,20.16078758239746,,,36.88999938964844,57.39571762084961,35.119998931884766
2006-03-16,7.9937424659729,20.094463348388672,,,36.77000045776367,57.04465103149414,34.08000183105469
2006-03-17,8.037246704101562,20.263952255249023,,,35.9900016784668,57.34062957763672,33.95000076293945
2006-03-20,7.953964710235596,20.551326751708984,,,36.22999954223633,57.53338623046875,34.150001525878906
2006-03-21,7.682991027832031,20.440799713134766,,,35.91999816894531,57.69169235229492,34.439998626708984
2006-03-22,7.665590286254883,20.00604248046875,,,36.0,58.13225173950195,34.369998931884766
2006-03-23,7.4778971672058105,19.784976959228516,,,35.68000030517578,57.27180862426758,34.75
2006-03-24,7.453035354614258,19.902881622314453,,,35.470001220703125,57.381927490234375,36.130001068115234
2006-03-27,7.397101402282715,19.902881622314453,,,35.25,57.18920135498047,35.33000183105469
2006-03-28,7.297662258148193,19.82183074951172,,,35.689998626708984,56.74174880981445,34.09000015258789
2006-03-29,7.747629642486572,19.910253524780273,,,36.31999969482422,57.223602294921875,34.290000915527344
2006-03-30,7.799834251403809,20.06499671936035,,,36.66999816894531,57.27180862426758,33.59000015258789
2006-03-31,7.796104907989502,20.05025863647461,,,36.529998779296875,56.7692985534668,33.15999984741211
2006-04-03,7.7874040603637695,20.30815887451172,,,36.13999938964844,57.175437927246094,33.18000030517578
2006-04-04,7.60344123840332,20.367111206054688,,,36.77000045776367,57.44390869140625,33.43000030517578
2006-04-05,8.354212760925293,20.440799713134766,,,37.34000015258789,57.939510345458984,34.779998779296875
2006-04-06,8.855141639709473,20.30815887451172,,,38.5099983215332,57.69169235229492,34.70000076293945
2006-04-07,8.674903869628906,20.07972526550293,,,37.09000015258789,56.77618408203125,33.689998626708984
